gene,ensembl_base,gene_length,gene_type
RP4-758J18.13,ENSG00000272455,1523,lincRNA
ANKRD65,ENSG00000235098,3350,protein_coding
RP4-758J18.7,ENSG00000225905,2447,antisense
TMEM88B,ENSG00000205116,1660,protein_coding
RP4-758J18.10,ENSG00000225285,4035,lincRNA
VWA1,ENSG00000179403,8022,protein_coding
ATAD3C,ENSG00000215915,20470,protein_coding
ATAD3B,ENSG00000160072,26080,protein_coding
ATAD3A,ENSG00000197785,22537,protein_coding
TMEM240,ENSG00000205090,5280,protein_coding
SSU72,ENSG00000160075,33197,protein_coding
RP5-832C2.5,ENSG00000215014,2101,lincRNA
AL645728.1,ENSG00000279244,291,protein_coding
RP11-345P4.11,ENSG00000274481,400,processed_pseudogene
METAZOA_SRP,ENSG00000280747,286,misc_RNA
C1ORF233,ENSG00000228594,2085,protein_coding
RP11-345P4.9,ENSG00000272106,2038,antisense
MIB2,ENSG00000197530,15196,protein_coding
MMP23B,ENSG00000189409,69716,protein_coding
CDK11B,ENSG00000248333,87592,protein_coding
RP11-345P4.10,ENSG00000272004,3278,antisense
SLC35E2B,ENSG00000189339,33200,protein_coding
RP11-345P4.7,ENSG00000269737,1422,antisense
RP11-345P4.6,ENSG00000269227,1123,transcribed_processed_pseudogene
MMP23A,ENSG00000215914,1841,unprocessed_pseudogene
CDK11A,ENSG00000008128,21595,protein_coding
RP1-283E3.8,ENSG00000268575,34953,processed_transcript
RP1-283E3.4,ENSG00000227775,12740,transcribed_processed_pseudogene
SLC35E2,ENSG00000215790,21155,protein_coding
NADK,ENSG00000008130,29226,protein_coding
GNB1,ENSG00000078369,105833,protein_coding
RP1-140A9.1,ENSG00000231050,1188,antisense
CALML6,ENSG00000169885,2470,protein_coding
TMEM52,ENSG00000178821,1684,protein_coding
CFAP74,ENSG00000142609,81887,protein_coding
RP11-547D24.1,ENSG00000233542,2318,antisense
GABRD,ENSG00000187730,11428,protein_coding
RP11-547D24.3,ENSG00000226969,868,antisense
PRKCZ,ENSG00000067606,134926,protein_coding
RP5-892K4.1,ENSG00000271806,4196,antisense
RP11-181G12.2,ENSG00000182873,2596,antisense
FAAP20,ENSG00000162585,28260,protein_coding
RP11-181G12.4,ENSG00000234396,8216,lincRNA
AL590822.1,ENSG00000277082,74,miRNA
SKI,ENSG00000157933,81425,protein_coding
MORN1,ENSG00000116151,70455,protein_coding
RP4-713A8.1,ENSG00000272161,493,sense_intronic
RP4-740C4.5,ENSG00000269896,2407,transcribed_processed_pseudogene
RP4-740C4.7,ENSG00000272420,568,sense_intronic
RER1,ENSG00000157916,13670,protein_coding
PEX10,ENSG00000157911,9834,protein_coding
PLCH2,ENSG00000149527,79551,protein_coding
RP3-395M20.2,ENSG00000224387,959,antisense
RP3-395M20.3,ENSG00000229393,1043,antisense
PANK4,ENSG00000157881,18096,protein_coding
HES5,ENSG00000197921,1501,protein_coding
RP3-395M20.12,ENSG00000272449,996,lincRNA
RP3-395M20.8,ENSG00000238164,7112,antisense
TNFRSF14,ENSG00000157873,9744,protein_coding
RP3-395M20.7,ENSG00000225931,3479,TEC
RP3-395M20.9,ENSG00000228037,2974,lincRNA
FAM213B,ENSG00000157870,4979,protein_coding
MMEL1,ENSG00000142606,42352,protein_coding
RP13-436F16.1,ENSG00000237058,4053,antisense
TTC34,ENSG00000215912,165746,protein_coding
RP11-740P5.2,ENSG00000233234,843,lincRNA
RP11-740P5.3,ENSG00000231630,567,lincRNA
ACTRT2,ENSG00000169717,1421,protein_coding
LINC00982,ENSG00000177133,8823,antisense
PRDM16,ENSG00000142611,369454,protein_coding
RP1-163G9.2,ENSG00000226286,783,antisense
RP11-193J6.1,ENSG00000279839,2677,TEC
RP11-22L13.1,ENSG00000272235,3461,lincRNA
ARHGEF16,ENSG00000130762,26688,protein_coding
RP11-168F9.2,ENSG00000272088,382,lincRNA
MEGF6,ENSG00000162591,121576,protein_coding
MIR551A,ENSG00000207776,96,miRNA
RP11-46F15.2,ENSG00000238260,1554,antisense
TPRG1L,ENSG00000158109,5126,protein_coding
WRAP73,ENSG00000116213,21995,protein_coding
TP73,ENSG00000078900,83682,protein_coding
RP5-1092A11.5,ENSG00000227589,9835,antisense
RP5-1092A11.2,ENSG00000235131,2099,antisense
TP73-AS1,ENSG00000227372,11736,antisense
TP73-AS1,ENSG00000276189,161,misc_RNA
CCDC27,ENSG00000162592,19248,protein_coding
SMIM1,ENSG00000235169,3195,protein_coding
LRRC47,ENSG00000130764,17947,protein_coding
RN7SL574P,ENSG00000266075,297,misc_RNA
RP1-286D6.5,ENSG00000272153,531,antisense
CEP104,ENSG00000116198,45134,protein_coding
DFFB,ENSG00000169598,28163,protein_coding
C1ORF174,ENSG00000198912,11169,protein_coding
LINC01134,ENSG00000236423,16854,lincRNA
LINC01346,ENSG00000233304,14650,lincRNA
RP13-614K11.2,ENSG00000226374,1832,lincRNA
EEF1DP6,ENSG00000229280,372,processed_pseudogene
RP5-1166F10.1,ENSG00000235054,12637,lincRNA
RP1-37J18.1,ENSG00000227169,411,lincRNA
RP1-37J18.2,ENSG00000232596,11874,lincRNA
AJAP1,ENSG00000196581,137803,protein_coding
AL137795.1,ENSG00000277731,95,miRNA
RP11-542C10.1,ENSG00000231510,4441,lincRNA
RP1-58B11.1,ENSG00000260972,1697,lincRNA
MIR4417,ENSG00000264341,73,miRNA
RP11-154H17.1,ENSG00000236948,80928,lincRNA
AL356693.1,ENSG00000216045,89,miRNA
MIR4689,ENSG00000264101,70,miRNA
NPHP4,ENSG00000131697,129663,protein_coding
AL356261.1,ENSG00000266687,86,miRNA
KCNAB2,ENSG00000069424,109728,protein_coding
CHD5,ENSG00000116254,78331,protein_coding
RPL22,ENSG00000116251,28121,protein_coding
RP1-120G22.11,ENSG00000226944,941,antisense
RNF207,ENSG00000158286,15825,protein_coding
ICMT,ENSG00000116237,14780,protein_coding
LINC00337,ENSG00000225077,3205,lincRNA
HES3,ENSG00000173673,1387,protein_coding
GPR153,ENSG00000158292,13630,protein_coding
ACOT7,ENSG00000097021,130123,protein_coding
RP1-202O8.3,ENSG00000271746,837,antisense
HES2,ENSG00000069812,12253,protein_coding
ESPN,ENSG00000187017,36583,protein_coding
MIR4252,ENSG00000265392,63,miRNA
RP1-202O8.2,ENSG00000231868,3973,antisense
TNFRSF25,ENSG00000215788,5045,protein_coding
PLEKHG5,ENSG00000171680,53970,protein_coding
NOL9,ENSG00000162408,33189,protein_coding
RNU6-731P,ENSG00000253022,111,snRNA
RP11-58A11.2,ENSG00000229519,715,processed_pseudogene
TAS1R1,ENSG00000173662,24577,protein_coding
ZBTB48,ENSG00000204859,9280,protein_coding
KLHL21,ENSG00000162413,23884,protein_coding
PHF13,ENSG00000116273,10349,protein_coding
THAP3,ENSG00000041988,10721,protein_coding
DNAJC11,ENSG00000007923,67757,protein_coding
RP11-242F24.1,ENSG00000228750,5376,lincRNA
RP11-312B8.1,ENSG00000237436,952,antisense
CAMTA1,ENSG00000171735,984383,protein_coding
RP11-312B8.2,ENSG00000227950,286,processed_pseudogene
RP11-334N17.1,ENSG00000237365,5904,antisense
RNU1-8P,ENSG00000207056,165,snRNA
Z98052.1,ENSG00000280801,85,miRNA
CAMTA1-IT1,ENSG00000237402,1329,sense_intronic
RP3-453P22.2,ENSG00000237728,7268,antisense
RP4-549F15.1,ENSG00000225126,459,antisense
RP11-338N10.1,ENSG00000270171,1721,lincRNA
RP11-338N10.2,ENSG00000270035,570,lincRNA
RP11-338N10.3,ENSG00000269978,267,lincRNA
VAMP3,ENSG00000049245,10164,protein_coding
RP3-467L1.6,ENSG00000269925,393,sense_intronic
PER3,ENSG00000049246,60858,protein_coding
RP3-467L1.4,ENSG00000236266,17101,antisense
UTS2,ENSG00000049247,10430,protein_coding
TNFRSF9,ENSG00000049249,27272,protein_coding
RP5-892F13.2,ENSG00000270330,355,processed_pseudogene
PARK7,ENSG00000116288,31215,protein_coding
Y_RNA,ENSG00000200344,103,misc_RNA
ERRFI1,ENSG00000116285,21905,protein_coding
RP11-431K24.1,ENSG00000238290,95965,lincRNA
CTA-215D11.4,ENSG00000232848,1219,processed_pseudogene
RP11-431K24.2,ENSG00000229305,2947,processed_pseudogene
RNU1-7P,ENSG00000200975,164,snRNA
RP11-431K24.3,ENSG00000227634,6539,lincRNA
RP11-431K24.4,ENSG00000233645,2340,lincRNA
RNU6-991P,ENSG00000251977,107,snRNA
SLC45A1,ENSG00000162426,26342,protein_coding
Y_RNA,ENSG00000252254,113,misc_RNA
RERE,ENSG00000142599,465247,protein_coding
RP5-1115A15.1,ENSG00000232912,10194,antisense
SNORA77,ENSG00000221083,125,snoRNA
RP5-1115A15.2,ENSG00000270282,369,processed_pseudogene
AL096855.1,ENSG00000280851,81,miRNA
RPL7P11,ENSG00000234619,658,processed_pseudogene
RPL7P7,ENSG00000224315,703,processed_pseudogene
Y_RNA,ENSG00000222511,103,misc_RNA
RP4-633I8.3,ENSG00000226545,1032,unprocessed_pseudogene
RP4-633I8.4,ENSG00000228423,1192,lincRNA
RPL23AP19,ENSG00000229716,369,processed_pseudogene
ENO1,ENSG00000074800,18248,protein_coding
METAZOA_SRP,ENSG00000280816,259,misc_RNA
MIR6728,ENSG00000274258,89,miRNA
ENO1-IT1,ENSG00000236269,2220,sense_intronic
ENO1-AS1,ENSG00000230679,1060,antisense
RNU6-304P,ENSG00000201725,107,snRNA
HMGN2P17,ENSG00000238249,743,processed_pseudogene
RP3-477M7.5,ENSG00000232208,352,processed_pseudogene
RP3-477M7.6,ENSG00000232663,163,processed_pseudogene
CA6,ENSG00000131686,29226,protein_coding
RN7SL451P,ENSG00000265141,299,misc_RNA
SLC2A7,ENSG00000197241,23046,protein_coding
SLC2A5,ENSG00000142583,53372,protein_coding
SCARNA16,ENSG00000252404,184,scaRNA
AL158048.1,ENSG00000281506,78,miRNA
GPR157,ENSG00000180758,28866,protein_coding
MIR34A,ENSG00000207865,110,miRNA
RP3-510D11.1,ENSG00000228526,1744,lincRNA
RP3-510D11.2,ENSG00000234546,9886,lincRNA
RP3-510D11.4,ENSG00000281937,1764,lincRNA
RP3-510D11.1,ENSG00000282129,41,lincRNA
H6PD,ENSG00000049239,36563,protein_coding
SPSB1,ENSG00000171621,76653,protein_coding
RNA5SP40,ENSG00000252956,110,rRNA
RP13-392I16.1,ENSG00000235263,2380,lincRNA
SLC25A33,ENSG00000171612,45698,protein_coding
RP13-15M17.1,ENSG00000231181,559,processed_pseudogene
TMEM201,ENSG00000188807,25952,protein_coding
PIK3CD,ENSG00000171608,77383,protein_coding
PIK3CD-AS1,ENSG00000179840,1977,antisense
RP11-558F24.2,ENSG00000233268,1799,processed_pseudogene
PIK3CD-AS2,ENSG00000231789,15130,antisense
CLSTN1,ENSG00000171603,95501,protein_coding
MZT1P1,ENSG00000271264,419,processed_pseudogene
AL357140.1,ENSG00000280113,649,protein_coding
CTNNBIP1,ENSG00000178585,62061,protein_coding
RP11-84A14.5,ENSG00000223989,1837,antisense
LZIC,ENSG00000162441,21295,protein_coding
RP11-84A14.4,ENSG00000228150,7052,sense_intronic
NMNAT1,ENSG00000173614,42074,protein_coding
RN7SKP269,ENSG00000202415,319,misc_RNA
MIR5697,ENSG00000265521,78,miRNA
RP11-807G9.2,ENSG00000241326,1428,sense_intronic
RBP7,ENSG00000162444,18815,protein_coding
UBE4B,ENSG00000130939,148408,protein_coding
RP11-496H15.2,ENSG00000224340,337,processed_pseudogene
PGAM1P11,ENSG00000233623,978,processed_pseudogene
RNU6-828P,ENSG00000201746,107,snRNA
KIF1B,ENSG00000054523,170799,protein_coding
MIR1273D,ENSG00000264881,86,miRNA
RNU6-37P,ENSG00000199562,107,snRNA
RN7SL731P,ENSG00000264501,293,misc_RNA
PGD,ENSG00000142657,21553,protein_coding
RP4-736L20.3,ENSG00000271989,797,antisense
APITD1-CORT,ENSG00000251503,22052,protein_coding
APITD1,ENSG00000175279,12367,protein_coding
CORT,ENSG00000241563,2184,protein_coding
DFFA,ENSG00000160049,16005,protein_coding
RP5-1113E3.3,ENSG00000203469,784,antisense
PEX14,ENSG00000142655,158471,protein_coding
RN7SL614P,ENSG00000243267,280,misc_RNA
CASZ1,ENSG00000130940,160047,protein_coding
RP4-734G22.3,ENSG00000272078,15093,antisense
HSPE1P24,ENSG00000225158,238,processed_pseudogene
C1ORF127,ENSG00000175262,35567,protein_coding
CFL1P6,ENSG00000215785,820,processed_pseudogene
AL713997.1,ENSG00000264181,88,miRNA
Y_RNA,ENSG00000281322,84,misc_RNA
TARDBP,ENSG00000120948,14077,protein_coding
TARDBP,ENSG00000277726,17867,protein_coding
MASP2,ENSG00000009724,20711,protein_coding
RP4-635E18.8,ENSG00000271895,870,antisense
SRM,ENSG00000116649,5441,protein_coding
EXOSC10,ENSG00000171824,33264,protein_coding
RP4-635E18.7,ENSG00000226849,4627,antisense
METAZOA_SRP,ENSG00000281350,263,misc_RNA
RP4-635E18.6,ENSG00000230337,2426,antisense
MTOR,ENSG00000198793,155973,protein_coding
MTOR-AS1,ENSG00000225602,5640,antisense
RNU6-537P,ENSG00000253086,103,snRNA
ANGPTL7,ENSG00000171819,6641,protein_coding
RNU6-291P,ENSG00000207451,107,snRNA
RPL39P6,ENSG00000238173,150,processed_pseudogene
UBIAD1,ENSG00000120942,22844,protein_coding
UBE2V2P3,ENSG00000238199,736,processed_pseudogene
RP11-149P14.1,ENSG00000224338,565,processed_pseudogene
PTCHD2,ENSG00000204624,58419,protein_coding
RP1-69M21.2,ENSG00000235643,3825,lincRNA
FBXO2,ENSG00000116661,7419,protein_coding
FBXO44,ENSG00000132879,8953,protein_coding
FBXO6,ENSG00000116663,10231,protein_coding
MAD2L2,ENSG00000116670,17171,protein_coding
DRAXIN,ENSG00000162490,34129,protein_coding
AGTRAP,ENSG00000177674,18719,protein_coding
C1ORF167,ENSG00000215910,27799,protein_coding
RP11-56N19.5,ENSG00000177553,2543,antisense
MTHFR,ENSG00000177000,21198,protein_coding
CLCN6,ENSG00000011021,37049,protein_coding
NPPA-AS1,ENSG00000242349,7063,antisense
NPPA-AS1_1,ENSG00000276470,173,misc_RNA
NPPA-AS1_2,ENSG00000278852,149,misc_RNA
NPPA,ENSG00000175206,2637,protein_coding
NPPA-AS1_3,ENSG00000275915,108,misc_RNA
NPPB,ENSG00000120937,1468,protein_coding
RP5-934G17.6,ENSG00000224904,2637,processed_pseudogene
RNU5E-1,ENSG00000199347,120,snRNA
RNU5E-4P,ENSG00000201801,120,snRNA
KIAA2013,ENSG00000116685,6838,protein_coding
PLOD1,ENSG00000083444,41334,protein_coding
MFN2,ENSG00000116688,33334,protein_coding
RP5-1077B9.5,ENSG00000270914,93,processed_pseudogene
MIIP,ENSG00000116691,12580,protein_coding
Y_RNA,ENSG00000202461,113,misc_RNA
MIR6729,ENSG00000276869,65,miRNA
RN7SL649P,ENSG00000243539,275,misc_RNA
TNFRSF8,ENSG00000120949,80831,protein_coding
METAZOA_SRP,ENSG00000281342,245,misc_RNA
RNU6-777P,ENSG00000201135,104,snRNA
RPL23AP89,ENSG00000227875,255,processed_pseudogene
MIR7846,ENSG00000275459,96,miRNA
TNFRSF1B,ENSG00000028137,42226,protein_coding
MIR4632,ENSG00000263676,61,miRNA
RP5-1118D24.2,ENSG00000225196,316,processed_pseudogene
SNORA70,ENSG00000252969,124,snoRNA
VPS13D,ENSG00000048707,281981,protein_coding
AC243836.1,ENSG00000280999,100,miRNA
SNORA59A,ENSG00000239149,152,snoRNA
RP5-888M10.2,ENSG00000229484,697,lincRNA
DHRS3,ENSG00000162496,49822,protein_coding
RNU6ATAC18P,ENSG00000221340,101,snRNA
MIR6730,ENSG00000276830,67,miRNA
RP11-474O21.5,ENSG00000272482,345,lincRNA
AADACL4,ENSG00000204518,22540,protein_coding
RP11-474O21.2,ENSG00000226166,112,processed_pseudogene
AADACL3,ENSG00000188984,12645,protein_coding
C1ORF158,ENSG00000157330,17485,protein_coding
PRAMEF12,ENSG00000116726,3066,protein_coding
PRAMEF1,ENSG00000116721,5232,protein_coding
RP5-845O24.8,ENSG00000228338,474,lincRNA
PRAMEF11,ENSG00000239810,6806,protein_coding
RP5-845O24.3,ENSG00000231103,3233,unprocessed_pseudogene
HNRNPCL1,ENSG00000179172,100202,protein_coding
PRAMEF2,ENSG00000120952,4824,protein_coding
PRAMEF4,ENSG00000243073,6978,protein_coding
PRAMEF10,ENSG00000187545,5375,protein_coding
PRAMEF7,ENSG00000204510,3873,protein_coding
RNU6-1072P,ENSG00000207434,107,snRNA
RP11-450I1.2,ENSG00000234064,2092,unprocessed_pseudogene
PRAMEF6,ENSG00000232423,118020,protein_coding
CH17-409J4.2,ENSG00000274178,2792,unprocessed_pseudogene
WI2-3308P17.2,ENSG00000274764,106472,protein_coding
PRAMEF26,ENSG00000280267,108617,protein_coding
PRAMEF26,ENSG00000229571,17032,protein_coding
HNRNPCL3,ENSG00000277058,1361,protein_coding
WI2-2994D6.1,ENSG00000277862,2793,unprocessed_pseudogene
RP13-221M14.4,ENSG00000236179,1287,unprocessed_pseudogene
HNRNPCL2,ENSG00000275774,1359,protein_coding
RP13-221M14.3,ENSG00000229978,2798,transcribed_unprocessed_pseudogene
RP13-221M14.2,ENSG00000233336,480,lincRNA
HNRNPCL4,ENSG00000179412,882,protein_coding
PRAMEF25,ENSG00000204505,7010,protein_coding
PRAMEF13,ENSG00000279169,2767,unprocessed_pseudogene
PRAMEF18,ENSG00000279804,3439,protein_coding
RP11-450I1.4,ENSG00000250894,2790,unprocessed_pseudogene
PRAMEF5,ENSG00000270601,9103,protein_coding
RP11-219C24.8,ENSG00000231219,2089,unprocessed_pseudogene
RNU6-771P,ENSG00000207511,107,snRNA
PRAMEF8,ENSG00000182330,4140,protein_coding
PRAMEF15,ENSG00000204501,19090,protein_coding
RP11-219C24.6,ENSG00000237700,2933,unitary_pseudogene
RP11-219C24.10,ENSG00000228229,480,lincRNA
PRAMEF14,ENSG00000204481,5101,protein_coding
PRAMEF19,ENSG00000204480,2627,protein_coding
PRAMEF17,ENSG00000204479,2998,protein_coding
PRAMEF20,ENSG00000204478,10879,protein_coding
LRRC38,ENSG00000162494,39072,protein_coding
RP4-597A16.2,ENSG00000259961,3051,antisense
BRWD1P1,ENSG00000215909,694,processed_pseudogene
PDPN,ENSG00000162493,34493,protein_coding
RNA5SP41,ENSG00000222952,101,rRNA
AL359771.1,ENSG00000266358,101,miRNA
CTA-520D8.2,ENSG00000237445,2600,lincRNA
SCARNA11,ENSG00000253085,130,scaRNA
PRDM2,ENSG00000116731,124882,protein_coding
RNU6-1265P,ENSG00000252151,103,snRNA
RP11-344F13.1,ENSG00000231606,1228,lincRNA
RP4-704D23.1,ENSG00000234593,2069,lincRNA
KAZN,ENSG00000189337,519340,protein_coding
AL034395.1,ENSG00000280763,103,miRNA
TBCAP2,ENSG00000235829,485,processed_pseudogene
TMEM51-AS1,ENSG00000175147,40650,antisense
TMEM51,ENSG00000171729,67949,protein_coding
C1ORF195,ENSG00000204464,6974,lincRNA
RP1-21O18.3,ENSG00000215720,1018,processed_pseudogene
RP5-903E17.2,ENSG00000278480,1177,processed_pseudogene
FHAD1,ENSG00000142621,153012,protein_coding
RP3-467K16.2,ENSG00000233485,17197,antisense
RP3-467K16.7,ENSG00000236045,1299,antisense
RP3-467K16.4,ENSG00000228140,6455,lincRNA
EFHD2,ENSG00000142634,20449,protein_coding
CTRC,ENSG00000162438,10804,protein_coding
CELA2A,ENSG00000142615,15364,protein_coding
CELA2B,ENSG00000215704,25492,protein_coding
CASP9,ENSG00000132906,35703,protein_coding
DNAJC16,ENSG00000116138,65567,protein_coding
SCARNA21,ENSG00000251866,140,scaRNA
RP4-680D5.8,ENSG00000272510,346,antisense
AGMAT,ENSG00000116771,12758,protein_coding
RP4-680D5.2,ENSG00000237301,17491,antisense
CHCHD2P6,ENSG00000235084,447,processed_pseudogene
RNU7-179P,ENSG00000252417,68,snRNA
RP4-680D5.4,ENSG00000236500,225,processed_pseudogene
DDI2,ENSG00000197312,51545,protein_coding
RSC1A1,ENSG00000215695,1854,protein_coding
RP4-680D5.9,ENSG00000271742,256,lincRNA
PLEKHM2,ENSG00000116786,50438,protein_coding
AL121992.1,ENSG00000264048,87,miRNA
RP11-288I21.1,ENSG00000237938,16585,antisense
SLC25A34,ENSG00000162461,4992,protein_coding
RP11-169K16.4,ENSG00000224459,9846,antisense
TMEM82,ENSG00000162460,5561,protein_coding
FBLIM1,ENSG00000162458,29988,protein_coding
METAZOA_SRP,ENSG00000280788,268,misc_RNA
RP11-169K16.6,ENSG00000224321,490,processed_pseudogene
UQCRHL,ENSG00000233954,2180,protein_coding
RP11-169K16.8,ENSG00000178715,438,processed_pseudogene
FLJ37453,ENSG00000179743,13674,antisense
SPEN,ENSG00000065526,92597,protein_coding
RP1-134O19.3,ENSG00000270620,211,unprocessed_pseudogene
ZBTB17,ENSG00000116809,34264,protein_coding
RP11-5P18.1,ENSG00000234607,563,processed_pseudogene
RP11-5P18.3,ENSG00000231353,260,unprocessed_pseudogene
RP11-5P18.11,ENSG00000275503,236,processed_pseudogene
TBC1D3P6,ENSG00000224966,4881,unprocessed_pseudogene
C1ORF64,ENSG00000183888,4572,protein_coding
RP11-5P18.5,ENSG00000233078,512,antisense
HSPB7,ENSG00000173641,5567,protein_coding
CLCNKA,ENSG00000186510,15176,protein_coding
RP11-5P18.10,ENSG00000232456,4852,unprocessed_pseudogene
CLCNKB,ENSG00000184908,13573,protein_coding
